unicode dec,unicode hex,character,name
6688,1A20,ᨠ,uni1A20
6689,1A21,ᨡ,uni1A21
6690,1A22,ᨢ,uni1A22
6691,1A23,ᨣ,uni1A23
6692,1A24,ᨤ,uni1A24
6693,1A25,ᨥ,uni1A25
6694,1A26,ᨦ,uni1A26
6695,1A27,ᨧ,uni1A27
6696,1A28,ᨨ,uni1A28
6697,1A29,ᨩ,uni1A29
6698,1A2A,ᨪ,uni1A2A
6699,1A2B,ᨫ,uni1A2B
6700,1A2C,ᨬ,uni1A2C
6701,1A2D,ᨭ,uni1A2D
6702,1A2E,ᨮ,uni1A2E
6703,1A2F,ᨯ,uni1A2F
6704,1A30,ᨰ,uni1A30
6705,1A31,ᨱ,uni1A31
6706,1A32,ᨲ,uni1A32
6707,1A33,ᨳ,uni1A33
6708,1A34,ᨴ,uni1A34
6709,1A35,ᨵ,uni1A35
6710,1A36,ᨶ,uni1A36
6711,1A37,ᨷ,uni1A37
6712,1A38,ᨸ,uni1A38
6713,1A39,ᨹ,uni1A39
6714,1A3A,ᨺ,uni1A3A
6715,1A3B,ᨻ,uni1A3B
6716,1A3C,ᨼ,uni1A3C
6717,1A3D,ᨽ,uni1A3D
6718,1A3E,ᨾ,uni1A3E
6719,1A3F,ᨿ,uni1A3F
6720,1A40,ᩀ,uni1A40
6721,1A41,ᩁ,uni1A41
6722,1A42,ᩂ,uni1A42
6723,1A43,ᩃ,uni1A43
6724,1A44,ᩄ,uni1A44
6725,1A45,ᩅ,uni1A45
6726,1A46,ᩆ,uni1A46
6727,1A47,ᩇ,uni1A47
6728,1A48,ᩈ,uni1A48
6729,1A49,ᩉ,uni1A49
6730,1A4A,ᩊ,uni1A4A
6731,1A4B,ᩋ,uni1A4B
6732,1A4C,ᩌ,uni1A4C
6733,1A4D,ᩍ,uni1A4D
6734,1A4E,ᩎ,uni1A4E
6735,1A4F,ᩏ,uni1A4F
6736,1A50,ᩐ,uni1A50
6737,1A51,ᩑ,uni1A51
6738,1A52,ᩒ,uni1A52
6739,1A53,ᩓ,uni1A53
6740,1A54,ᩔ,uni1A54
6741,1A55,ᩕ,uni1A55
6742,1A56,ᩖ,uni1A56
6743,1A57,ᩗ,uni1A57
6744,1A58,ᩘ,uni1A58
6745,1A59,ᩙ,uni1A59
6746,1A5A,ᩚ,uni1A5A
6747,1A5B,ᩛ,uni1A5B
6748,1A5C,ᩜ,uni1A5C
6749,1A5D,ᩝ,uni1A5D
6750,1A5E,ᩞ,uni1A5E
6752,1A60,᩠,uni1A60
6753,1A61,ᩡ,uni1A61
6754,1A62,ᩢ,uni1A62
6755,1A63,ᩣ,uni1A63
6756,1A64,ᩤ,uni1A64
6757,1A65,ᩥ,uni1A65
6758,1A66,ᩦ,uni1A66
6759,1A67,ᩧ,uni1A67
6760,1A68,ᩨ,uni1A68
6761,1A69,ᩩ,uni1A69
6762,1A6A,ᩪ,uni1A6A
6763,1A6B,ᩫ,uni1A6B
6764,1A6C,ᩬ,uni1A6C
6765,1A6D,ᩭ,uni1A6D
6766,1A6E,ᩮ,uni1A6E
6767,1A6F,ᩯ,uni1A6F
6768,1A70,ᩰ,uni1A70
6769,1A71,ᩱ,uni1A71
6770,1A72,ᩲ,uni1A72
6771,1A73,ᩳ,uni1A73
6772,1A74,ᩴ,uni1A74
6773,1A75,᩵,uni1A75
6774,1A76,᩶,uni1A76
6775,1A77,᩷,uni1A77
6776,1A78,᩸,uni1A78
6777,1A79,᩹,uni1A79
6778,1A7A,᩺,uni1A7A
6779,1A7B,᩻,uni1A7B
6780,1A7C,᩼,uni1A7C
6783,1A7F,᩿,uni1A7F
6784,1A80,᪀,uni1A80
6785,1A81,᪁,uni1A81
6786,1A82,᪂,uni1A82
6787,1A83,᪃,uni1A83
6788,1A84,᪄,uni1A84
6789,1A85,᪅,uni1A85
6790,1A86,᪆,uni1A86
6791,1A87,᪇,uni1A87
6792,1A88,᪈,uni1A88
6793,1A89,᪉,uni1A89
6800,1A90,᪐,uni1A90
6801,1A91,᪑,uni1A91
6802,1A92,᪒,uni1A92
6803,1A93,᪓,uni1A93
6804,1A94,᪔,uni1A94
6805,1A95,᪕,uni1A95
6806,1A96,᪖,uni1A96
6807,1A97,᪗,uni1A97
6808,1A98,᪘,uni1A98
6809,1A99,᪙,uni1A99
6816,1AA0,᪠,uni1AA0
6817,1AA1,᪡,uni1AA1
6818,1AA2,᪢,uni1AA2
6819,1AA3,᪣,uni1AA3
6820,1AA4,᪤,uni1AA4
6821,1AA5,᪥,uni1AA5
6822,1AA6,᪦,uni1AA6
6823,1AA7,ᪧ,uni1AA7
6824,1AA8,᪨,uni1AA8
6825,1AA9,᪩,uni1AA9
6826,1AAA,᪪,uni1AAA
6827,1AAB,᪫,uni1AAB
6828,1AAC,᪬,uni1AAC
6829,1AAD,᪭,uni1AAD
