unicode hex,unicode dec,unicode name,character,name
1A20,6688,TAI THAM LETTER HIGH KA,ᨠ,tham-HighKa
1A21,6689,TAI THAM LETTER HIGH KHA,ᨡ,tham-HighKha
1A22,6690,TAI THAM LETTER HIGH KXA,ᨢ,taitham-HighKxa
1A23,6691,TAI THAM LETTER LOW KA,ᨣ,taitham-LowKa
1A24,6692,TAI THAM LETTER LOW KXA,ᨤ,taitham-LowKxa
1A25,6693,TAI THAM LETTER LOW KHA,ᨥ,taitham-LowKha
1A26,6694,TAI THAM LETTER NGA,ᨦ,taitham-Nga
1A27,6695,TAI THAM LETTER HIGH CA,ᨧ,taitham-HighCa
1A28,6696,TAI THAM LETTER HIGH CHA,ᨨ,taitham-HighCha
1A29,6697,TAI THAM LETTER LOW CA,ᨩ,taitham-LowCa
1A2A,6698,TAI THAM LETTER LOW SA,ᨪ,taitham-LowSa
1A2B,6699,TAI THAM LETTER LOW CHA,ᨫ,taitham-LowCha
1A2C,6700,TAI THAM LETTER NYA,ᨬ,taitham-Nya
1A2D,6701,TAI THAM LETTER RATA,ᨭ,taitham-Rata
1A2E,6702,TAI THAM LETTER HIGH RATHA,ᨮ,taitham-HighRatha
1A2F,6703,TAI THAM LETTER DA,ᨯ,taitham-Da
1A30,6704,TAI THAM LETTER LOW RATHA,ᨰ,taitham-LowRatha
1A31,6705,TAI THAM LETTER RANA,ᨱ,taitham-Rana
1A32,6706,TAI THAM LETTER HIGH TA,ᨲ,taitham-HighTa
1A33,6707,TAI THAM LETTER HIGH THA,ᨳ,taitham-HighTha
1A34,6708,TAI THAM LETTER LOW TA,ᨴ,taitham-LowTa
1A35,6709,TAI THAM LETTER LOW THA,ᨵ,taitham-LowTha
1A36,6710,TAI THAM LETTER NA,ᨶ,taitham-Na
1A37,6711,TAI THAM LETTER BA,ᨷ,taitham-Ba
1A38,6712,TAI THAM LETTER HIGH PA,ᨸ,taitham-HighPa
1A39,6713,TAI THAM LETTER HIGH PHA,ᨹ,taitham-HighPha
1A3A,6714,TAI THAM LETTER HIGH FA,ᨺ,taitham-HighFa
1A3B,6715,TAI THAM LETTER LOW PA,ᨻ,taitham-LowPa
1A3C,6716,TAI THAM LETTER LOW FA,ᨼ,taitham-LowFa
1A3D,6717,TAI THAM LETTER LOW PHA,ᨽ,taitham-LowPha
1A3E,6718,TAI THAM LETTER MA,ᨾ,taitham-Ma
1A3F,6719,TAI THAM LETTER LOW YA,ᨿ,taitham-LowYa
1A40,6720,TAI THAM LETTER HIGH YA,ᩀ,taitham-HighYa
1A41,6721,TAI THAM LETTER RA,ᩁ,taitham-Ra
1A42,6722,TAI THAM LETTER RUE,ᩂ,taitham-Rue
1A43,6723,TAI THAM LETTER LA,ᩃ,taitham-La
1A44,6724,TAI THAM LETTER LUE,ᩄ,taitham-Lue
1A45,6725,TAI THAM LETTER WA,ᩅ,taitham-Wa
1A46,6726,TAI THAM LETTER HIGH SHA,ᩆ,taitham-HighSha
1A47,6727,TAI THAM LETTER HIGH SSA,ᩇ,taitham-HighSsa
1A48,6728,TAI THAM LETTER HIGH SA,ᩈ,taitham-HighSa
1A49,6729,TAI THAM LETTER HIGH HA,ᩉ,taitham-HighHa
1A4A,6730,TAI THAM LETTER LLA,ᩊ,taitham-Lla
1A4B,6731,TAI THAM LETTER A,ᩋ,taitham-A
1A4C,6732,TAI THAM LETTER LOW HA,ᩌ,taitham-LowHa
1A4D,6733,TAI THAM LETTER I,ᩍ,taitham-I
1A4E,6734,TAI THAM LETTER II,ᩎ,taitham-Ii
1A4F,6735,TAI THAM LETTER U,ᩏ,taitham-U
1A50,6736,TAI THAM LETTER UU,ᩐ,taitham-Uu
1A51,6737,TAI THAM LETTER EE,ᩑ,taitham-Ee
1A52,6738,TAI THAM LETTER OO,ᩒ,taitham-Oo
1A53,6739,TAI THAM LETTER LAE,ᩓ,taitham-Lae
1A54,6740,TAI THAM LETTER GREAT SA,ᩔ,taitham-GreatSa
1A55,6741,TAI THAM CONSONANT SIGN MEDIAL RA,ᩕ,taitham-SignMedialRa
1A56,6742,TAI THAM CONSONANT SIGN MEDIAL LA,ᩖ,taitham-SignMedialLa
1A57,6743,TAI THAM CONSONANT SIGN LA TANG LAI,ᩗ,taitham-SignLaTangLai
1A58,6744,TAI THAM SIGN MAI KANG LAI,ᩘ,taitham-SignMaiKangLai
1A59,6745,TAI THAM CONSONANT SIGN FINAL NGA,ᩙ,taitham-SignFinalNga
1A5A,6746,TAI THAM CONSONANT SIGN LOW PA,ᩚ,taitham-SignLowPa
1A5B,6747,TAI THAM CONSONANT SIGN HIGH RATHA OR LOW PA,ᩛ,taitham-SignHighRathaOrLowPa
1A5C,6748,TAI THAM CONSONANT SIGN MA,ᩜ,taitham-SignMa
1A5D,6749,TAI THAM CONSONANT SIGN BA,ᩝ,taitham-SignBa
1A5E,6750,TAI THAM CONSONANT SIGN SA,ᩞ,taitham-SignSa
1A60,6752,TAI THAM SIGN SAKOT,᩠,taitham-SignSakot
1A61,6753,TAI THAM VOWEL SIGN A,ᩡ,taitham-SignA
1A62,6754,TAI THAM VOWEL SIGN MAI SAT,ᩢ,taitham-SignMaiSat
1A63,6755,TAI THAM VOWEL SIGN AA,ᩣ,taitham-SignAa
1A64,6756,TAI THAM VOWEL SIGN TALL AA,ᩤ,taitham-SignTallAa
1A65,6757,TAI THAM VOWEL SIGN I,ᩥ,taitham-SignI
1A66,6758,TAI THAM VOWEL SIGN II,ᩦ,taitham-SignIi
1A67,6759,TAI THAM VOWEL SIGN UE,ᩧ,taitham-SignUe
1A68,6760,TAI THAM VOWEL SIGN UUE,ᩨ,taitham-SignUue
1A69,6761,TAI THAM VOWEL SIGN U,ᩩ,taitham-SignU
1A6A,6762,TAI THAM VOWEL SIGN UU,ᩪ,taitham-SignUu
1A6B,6763,TAI THAM VOWEL SIGN O,ᩫ,taitham-SignO
1A6C,6764,TAI THAM VOWEL SIGN OA BELOW,ᩬ,taitham-SignOaBelow
1A6D,6765,TAI THAM VOWEL SIGN OY,ᩭ,taitham-SignOy
1A6E,6766,TAI THAM VOWEL SIGN E,ᩮ,taitham-SignE
1A6F,6767,TAI THAM VOWEL SIGN AE,ᩯ,taitham-SignAe
1A70,6768,TAI THAM VOWEL SIGN OO,ᩰ,taitham-SignOo
1A71,6769,TAI THAM VOWEL SIGN AI,ᩱ,taitham-SignAi
1A72,6770,TAI THAM VOWEL SIGN THAM AI,ᩲ,taitham-SignThamAi
1A73,6771,TAI THAM VOWEL SIGN OA ABOVE,ᩳ,taitham-SignOaAbove
1A74,6772,TAI THAM SIGN MAI KANG,ᩴ,taitham-SignMaiKang
1A75,6773,TAI THAM SIGN TONE-1,᩵,taitham-SignTone-1
1A76,6774,TAI THAM SIGN TONE-2,᩶,taitham-SignTone-2
1A77,6775,TAI THAM SIGN KHUEN TONE-3,᩷,taitham-SignKhuenTone-3
1A78,6776,TAI THAM SIGN KHUEN TONE-4,᩸,taitham-SignKhuenTone-4
1A79,6777,TAI THAM SIGN KHUEN TONE-5,᩹,taitham-SignKhuenTone-5
1A7A,6778,TAI THAM SIGN RA HAAM,᩺,taitham-SignRaHaam
1A7B,6779,TAI THAM SIGN MAI SAM,᩻,taitham-SignMaiSam
1A7C,6780,TAI THAM SIGN KHUEN-LUE KARAN,᩼,taitham-SignKhuen-LueKaran
1A7F,6783,TAI THAM COMBINING CRYPTOGRAMMIC DOT,᩿,taitham-CombiningCryptogrammicDot
1A80,6784,TAI THAM HORA DIGIT ZERO,᪀,taitham-HoraZero
1A81,6785,TAI THAM HORA DIGIT ONE,᪁,taitham-HoraOne
1A82,6786,TAI THAM HORA DIGIT TWO,᪂,taitham-HoraTwo
1A83,6787,TAI THAM HORA DIGIT THREE,᪃,taitham-HoraThree
1A84,6788,TAI THAM HORA DIGIT FOUR,᪄,taitham-HoraFour
1A85,6789,TAI THAM HORA DIGIT FIVE,᪅,taitham-HoraFive
1A86,6790,TAI THAM HORA DIGIT SIX,᪆,taitham-HoraSix
1A87,6791,TAI THAM HORA DIGIT SEVEN,᪇,taitham-HoraSeven
1A88,6792,TAI THAM HORA DIGIT EIGHT,᪈,taitham-HoraEight
1A89,6793,TAI THAM HORA DIGIT NINE,᪉,taitham-HoraNine
1A90,6800,TAI THAM THAM DIGIT ZERO,᪐,taitham-ThamZero
1A91,6801,TAI THAM THAM DIGIT ONE,᪑,taitham-ThamOne
1A92,6802,TAI THAM THAM DIGIT TWO,᪒,taitham-ThamTwo
1A93,6803,TAI THAM THAM DIGIT THREE,᪓,taitham-ThamThree
1A94,6804,TAI THAM THAM DIGIT FOUR,᪔,taitham-ThamFour
