hex,dec,unicode name,character,name
0E01,3585,THAI CHARACTER KO KAI,ก,thai-KoKai
0E02,3586,THAI CHARACTER KHO KHAI,ข,thai-KhoKhai
0E03,3587,THAI CHARACTER KHO KHUAT,ฃ,thai-KhoKhuat
0E04,3588,THAI CHARACTER KHO KHWAI,ค,thai-KhoKhwai
0E05,3589,THAI CHARACTER KHO KHON,ฅ,thai-KhoKhon
0E06,3590,THAI CHARACTER KHO RAKHANG,ฆ,thai-KhoRakhang
0E07,3591,THAI CHARACTER NGO NGU,ง,thai-NgoNgu
0E08,3592,THAI CHARACTER CHO CHAN,จ,thai-ChoChan
0E09,3593,THAI CHARACTER CHO CHING,ฉ,thai-ChoChing
0E0A,3594,THAI CHARACTER CHO CHANG,ช,thai-ChoChang
0E0B,3595,THAI CHARACTER SO SO,ซ,thai-SoSo
0E0C,3596,THAI CHARACTER CHO CHOE,ฌ,thai-ChoChoe
0E0D,3597,THAI CHARACTER YO YING,ญ,thai-YoYing
0E0E,3598,THAI CHARACTER DO CHADA,ฎ,thai-DoChada
0E0F,3599,THAI CHARACTER TO PATAK,ฏ,thai-ToPatak
0E10,3600,THAI CHARACTER THO THAN,ฐ,thai-ThoThan
0E11,3601,THAI CHARACTER THO NANGMONTHO,ฑ,thai-ThoNangmontho
0E12,3602,THAI CHARACTER THO PHUTHAO,ฒ,thai-ThoPhuthao
0E13,3603,THAI CHARACTER NO NEN,ณ,thai-NoNen
0E14,3604,THAI CHARACTER DO DEK,ด,thai-DoDek
0E15,3605,THAI CHARACTER TO TAO,ต,thai-ToTao
0E16,3606,THAI CHARACTER THO THUNG,ถ,thai-ThoThung
0E17,3607,THAI CHARACTER THO THAHAN,ท,thai-ThoThahan
0E18,3608,THAI CHARACTER THO THONG,ธ,thai-ThoThong
0E19,3609,THAI CHARACTER NO NU,น,thai-NoNu
0E1A,3610,THAI CHARACTER BO BAIMAI,บ,thai-BoBaimai
0E1B,3611,THAI CHARACTER PO PLA,ป,thai-PoPla
0E1C,3612,THAI CHARACTER PHO PHUNG,ผ,thai-PhoPhung
0E1D,3613,THAI CHARACTER FO FA,ฝ,thai-FoFa
0E1E,3614,THAI CHARACTER PHO PHAN,พ,thai-PhoPhan
0E1F,3615,THAI CHARACTER FO FAN,ฟ,thai-FoFan
0E20,3616,THAI CHARACTER PHO SAMPHAO,ภ,thai-PhoSamphao
0E21,3617,THAI CHARACTER MO MA,ม,thai-MoMa
0E22,3618,THAI CHARACTER YO YAK,ย,thai-YoYak
0E23,3619,THAI CHARACTER RO RUA,ร,thai-RoRua
0E24,3620,THAI CHARACTER RU,ฤ,thai-Ru
0E25,3621,THAI CHARACTER LO LING,ล,thai-LoLing
0E26,3622,THAI CHARACTER LU,ฦ,thai-Lu
0E27,3623,THAI CHARACTER WO WAEN,ว,thai-WoWaen
0E28,3624,THAI CHARACTER SO SALA,ศ,thai-SoSala
0E29,3625,THAI CHARACTER SO RUSI,ษ,thai-SoRusi
0E2A,3626,THAI CHARACTER SO SUA,ส,thai-SoSua
0E2B,3627,THAI CHARACTER HO HIP,ห,thai-HoHip
0E2C,3628,THAI CHARACTER LO CHULA,ฬ,thai-LoChula
0E2D,3629,THAI CHARACTER O ANG,อ,thai-OAng
0E2E,3630,THAI CHARACTER HO NOKHUK,ฮ,thai-HoNokhuk
0E2F,3631,THAI CHARACTER PAIYANNOI,ฯ,thai-Paiyannoi
0E30,3632,THAI CHARACTER SARA A,ะ,thai-SaraA
0E31,3633,THAI CHARACTER MAI HAN-AKAT,ั,thai-MaiHan-Akat
0E32,3634,THAI CHARACTER SARA AA,า,thai-SaraAa
0E33,3635,THAI CHARACTER SARA AM,ำ,thai-SaraAm
0E34,3636,THAI CHARACTER SARA I,ิ,thai-SaraI
0E35,3637,THAI CHARACTER SARA II,ี,thai-SaraIi
0E36,3638,THAI CHARACTER SARA UE,ึ,thai-SaraUe
0E37,3639,THAI CHARACTER SARA UEE,ื,thai-SaraUee
0E38,3640,THAI CHARACTER SARA U,ุ,thai-SaraU
0E39,3641,THAI CHARACTER SARA UU,ู,thai-SaraUu
0E3A,3642,THAI CHARACTER PHINTHU,ฺ,thai-Phinthu
0E3F,3647,THAI CURRENCY SYMBOL BAHT,฿,thai-Baht
0E40,3648,THAI CHARACTER SARA E,เ,thai-SaraE
0E41,3649,THAI CHARACTER SARA AE,แ,thai-SaraAe
0E42,3650,THAI CHARACTER SARA O,โ,thai-SaraO
0E43,3651,THAI CHARACTER SARA AI MAIMUAN,ใ,thai-SaraAiMaimuan
0E44,3652,THAI CHARACTER SARA AI MAIMALAI,ไ,thai-SaraAiMaimalai
0E45,3653,THAI CHARACTER LAKKHANGYAO,ๅ,thai-Lakkhangyao
0E46,3654,THAI CHARACTER MAIYAMOK,ๆ,thai-Maiyamok
0E47,3655,THAI CHARACTER MAITAIKHU,็,thai-Maitaikhu
0E48,3656,THAI CHARACTER MAI EK,่,thai-MaiEk
0E49,3657,THAI CHARACTER MAI THO,้,thai-MaiTho
0E4A,3658,THAI CHARACTER MAI TRI,๊,thai-MaiTri
0E4B,3659,THAI CHARACTER MAI CHATTAWA,๋,thai-MaiChattawa
0E4C,3660,THAI CHARACTER THANTHAKHAT,์,thai-Thanthakhat
0E4D,3661,THAI CHARACTER NIKHAHIT,ํ,thai-Nikhahit
0E4E,3662,THAI CHARACTER YAMAKKAN,๎,thai-Yamakkan
0E4F,3663,THAI CHARACTER FONGMAN,๏,thai-Fongman
0E50,3664,THAI DIGIT ZERO,๐,thai-DigitZero
0E51,3665,THAI DIGIT ONE,๑,thai-DigitOne
0E52,3666,THAI DIGIT TWO,๒,thai-DigitTwo
0E53,3667,THAI DIGIT THREE,๓,thai-DigitThree
0E54,3668,THAI DIGIT FOUR,๔,thai-DigitFour
0E55,3669,THAI DIGIT FIVE,๕,thai-DigitFive
0E56,3670,THAI DIGIT SIX,๖,thai-DigitSix
0E57,3671,THAI DIGIT SEVEN,๗,thai-DigitSeven
0E58,3672,THAI DIGIT EIGHT,๘,thai-DigitEight
0E59,3673,THAI DIGIT NINE,๙,thai-DigitNine
0E5A,3674,THAI CHARACTER ANGKHANKHU,๚,thai-Angkhankhu
0E5B,3675,THAI CHARACTER KHOMUT,๛,thai-Khomut
